Data e hora,Moeda,Valor
09/26/24 22:05:26,Dolar,5.4379
09/26/24 22:05:32,Dolar,5.4379
09/26/24 22:05:40,Dolar,5.4379
09/26/24 22:05:47,Dolar,5.4379
09/26/24 22:05:54,Dolar,5.4379
09/26/24 22:06:02,Dolar,5.4379
09/26/24 22:06:08,Dolar,5.4379
09/26/24 22:06:15,Dolar,5.4379
09/26/24 22:06:22,Dolar,5.4379
09/26/24 22:06:29,Dolar,5.4379
09/26/24 22:06:35,Dolar,5.4379
09/26/24 22:06:42,Dolar,5.4379
09/26/24 22:06:48,Dolar,5.4379
09/26/24 22:06:54,Dolar,5.4379
09/26/24 22:07:01,Dolar,5.4379
09/26/24 22:07:09,Dolar,5.4379
09/26/24 22:07:16,Dolar,5.4379
09/26/24 22:07:22,Dolar,5.4379
09/26/24 22:07:29,Dolar,5.4379
09/26/24 22:07:41,Dolar,5.4379
09/26/24 22:07:48,Dolar,5.4379
09/26/24 22:07:55,Dolar,5.4379
09/26/24 22:08:05,Dolar,5.4379
09/26/24 22:08:18,Dolar,5.4379
